id,demographics_1,demographics_2,demographics_3,company_1,company_2,company_3,demographics_4,demographics_5,remote_work_time_1,remote_work_time_2,remote_work_time_3,remote_work_time_4,remote_work_time_5,remote_policy_1,split_work_day_1,split_work_day_2,split_work_day_3,remote_policy_2,remote_policy_3,remote_policy_4,remote_policy_5,remote_policy_6,remote_policy_7,remote_policy_8,remote_culture_1,remote_culture_2,remote_culture_3,remote_culture_4,remote_culture_5,remote_culture_6,remote_culture_7,remote_culture_8,remote_culture_9,remote_culture_10,remote_culture_11,remote_culture_12,use_of_time_onsite_1,use_of_time_onsite_2,use_of_time_onsite_3,use_of_time_onsite_4,use_of_time_onsite_5,use_of_time_remote_1,use_of_time_remote_2,use_of_time_remote_3,use_of_time_remote_4,use_of_time_remote_5,compensation_hypothetical_1,compensation_hypothetical_2,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,remote_personal_behavior_1,remote_personal_behavior_2,remote_personal_behavior_3,remote_management_1,remote_management_2,remote_management_3,remote_management_4,remote_management_5,remote_management_6,remote_management_7,remote_management_8,remote_management_9,remote_management_10,remote_management_11,productivity_1,remote_management_12
11,41,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,Group household,1,90,80,80,80,90,1,1,90,100,No,NA,2,2,2,-1,1,1,1,1,1,1,-1,1,2,They are about the same,1,2,2,2.0,8.0,2.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0,0,NA,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,Yes,1,2,1,1,1,2,1,1,2,50,50
12,62,Male,Between 1 and 5 years,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 5 and 19,Couple with dependent children,1,10,10,10,10,5,1,1,10,10,Yes,80,0,-1,-1,-1,-1,-1,0,-1,0,0,1,1,-1,They are about the same,-1,0,-1,1.0,8.0,3.0,4.0,8.0,1.0,8.0,3.0,4.0,8.0,0,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,Yes,0,0,0,1,1,1,1,1,1,20,20
13,29,Female,Between 6 and 12 months,Other Services,Professionals - ICT Professionals,Between 1 and 4,Couple with dependent children,1,50,50,50,50,50,0,1,50,50,No,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,Senior leadership,2,2,2,3.0,8.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes,0,1,1,1,1,1,1,1,1,-10,-10
14,53,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,1,50,20,50,20,0,1,0,NA,NA,Yes,50,-2,-2,-2,-2,2,-2,1,2,-2,-1,0,1,-2,They are about the same,-2,2,-2,2.5,8.0,2.0,3.5,8.0,0.0,8.0,3.0,4.0,9.0,0,NA,0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-1,0,0,-1,1,-2,-2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,NA
15,45,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 5 and 19,Single person,1,80,80,80,70,80,1,0,NA,NA,No,NA,1,1,2,1,-1,1,1,2,1,1,1,2,0,Senior leadership,1,1,1,1.0,11.0,2.0,1.0,9.0,0.0,12.0,2.0,2.0,8.0,0,NA,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA
16,48,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Single person,1,30,50,10,20,40,0,1,30,40,Yes,100,-1,-1,-1,-1,1,1,-1,1,1,-1,0,1,-1,They are about the same,0,1,1,3.0,8.0,3.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0,0,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,1,Yes,-1,0,1,0,0,1,0,0,1,50,50
17,49,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,One parent family with dependent children,0,30,10,20,20,20,0,1,20,20,Yes,30,0,0,1,0,1,1,1,1,1,1,1,1,1,My direct manger(s),0,0,0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
18,44,Female,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,0,20,10,10,5,10,1,1,10,10,Yes,10,2,0,1,1,2,2,2,2,2,2,2,2,1,Senior leadership,2,2,2,3.0,8.0,3.0,3.0,7.0,1.0,8.0,4.0,3.0,8.0,1,0.1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2,1,1,Yes,2,2,2,2,2,2,2,2,2,10,10
19,43,Male,More than 5 years,Construction,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,1,30,40,20,20,20,1,1,30,30,Yes,60,2,1,1,2,2,0,2,1,2,2,0,1,2,They are about the same,0,0,1,3.0,8.0,3.0,2.0,8.0,1.0,8.0,4.0,3.0,8.0,1,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,Yes,1,1,1,1,1,0,1,2,1,10,10
20,26,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Support Workers,More than 200,Other one family household,1,80,100,80,100,100,1,0,NA,NA,Yes,20,1,-1,-1,1,1,1,1,2,1,1,0,1,1,They are about the same,-1,-1,-1,2.5,8.0,3.0,2.5,8.0,0.5,8.0,3.0,4.5,8.0,0,NA,0,-1,-1,0,0,-1,0,0,0,0,-2,1,0,-1,0,1,2,2,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
21,41,Female,Between 6 and 12 months,Construction,Community and personal service workers - Hospitality Workers,Between 5 and 19,Couple with dependent children,1,20,20,20,20,30,0,1,30,20,Yes,10,1,1,1,1,1,2,1,2,1,1,1,1,1,Senior leadership,2,1,1,8.0,2.0,1.0,5.0,8.0,2.0,10.0,8.0,2.0,2.0,1,0.05,1,1,2,1,1,1,1,0,0,1,2,1,1,2,1,1,1,1,1,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50
22,43,Male,More than 5 years,Accommodation and Food,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,0,30,30,30,30,30,0,1,30,30,No,NA,1,1,1,2,2,1,1,2,2,2,1,1,2,Senior leadership,2,1,1,1.0,2.0,5.0,8.0,8.0,1.0,8.0,4.0,3.0,8.0,0,NA,2,1,1,1,2,1,2,2,1,2,0,1,1,1,0,0,2,1,1,1,Yes,1,2,2,1,2,1,1,2,1,30,30
23,45,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,1,30,40,50,20,50,1,1,50,50,No,NA,0,1,1,0,0,0,-1,0,0,1,1,-1,-1,My direct manger(s),0,1,-1,2.0,8.0,3.0,3.0,8.0,0.0,8.0,5.0,3.0,8.0,1,0.1,-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,-1,0,1,-1,1,Yes,-1,-1,-1,0,0,1,0,0,1,30,30
24,60,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,1,90,90,90,90,90,1,0,NA,NA,No,NA,2,2,2,2,0,-1,-2,0,2,2,-2,1,2,My direct manger(s),0,0,0,1.0,4.0,6.0,6.0,7.0,0.0,4.0,8.0,4.0,8.0,1,0.2,1,1,0,1,0,1,1,2,0,0,2,2,0,0,0,2,2,2,-2,1,Yes,0,1,0,2,1,0,0,1,1,50,50
25,56,Female,Between 1 and 5 years,Education and Training,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Couple with dependent children,1,100,100,100,100,5,1,1,100,100,No,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,My direct manger(s),-2,-2,-2,2.0,8.0,4.0,4.0,6.0,1.0,8.0,3.0,4.0,8.0,1,0.05,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
26,62,Male,Between 1 and 5 years,Wholesale Trade,Managers - Specialist Managers,I am a sole trader/owner-operator,Couple with dependent children,1,100,100,100,100,100,0,0,NA,NA,No,NA,2,2,2,2,2,0,1,1,0,1,0,1,2,They are about the same,1,1,2,1.0,4.0,0.0,11.0,8.0,1.0,4.0,0.0,11.0,8.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
27,57,Female,More than 5 years,Wholesale Trade,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with dependent children,1,70,50,20,50,50,0,0,NA,NA,Yes,50,2,0,2,0,2,2,2,2,2,2,0,2,1,They are about the same,1,2,1,1.0,8.0,4.0,3.0,8.0,1.0,8.0,4.0,3.0,8.0,0,NA,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
28,32,Male,Between 1 and 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,1,20,30,20,10,10,1,1,10,20,Yes,80,1,1,1,0,1,1,1,1,1,1,1,0,1,Senior leadership,1,0,1,1.0,8.0,3.0,5.0,7.0,2.0,8.0,3.0,3.0,8.0,1,0.16,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,2,1,Yes,1,1,1,1,0,1,1,1,1,30,30
29,46,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,Couple with no dependent children,1,30,40,30,70,80,0,0,NA,NA,Unsure,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,They are about the same,2,2,2,2.0,8.0,2.0,4.0,8.0,2.0,8.0,2.0,6.0,6.0,1,0.75,2,1,2,2,1,2,2,0,2,1,0,2,2,1,0,2,2,2,2,1,Yes,2,2,2,2,2,2,2,2,2,40,40
30,34,Female,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,More than 200,Couple with dependent children,1,100,100,100,100,100,1,0,NA,NA,No,NA,1,2,2,2,1,2,2,1,1,1,1,1,2,Senior leadership,1,1,1,3.5,7.5,1.0,2.0,10.0,0.0,9.0,3.0,2.0,10.0,1,0.05,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,2,2,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
31,46,Female,Between 1 and 5 years,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 1 and 4,One parent family with dependent children,0,30,50,10,50,50,0,1,30,50,Unsure,NA,0,0,-1,0,2,0,1,1,1,1,-2,0,2,My direct manger(s),0,0,0,1.0,6.0,4.0,6.0,7.0,1.0,7.0,4.5,4.5,7.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
32,42,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Couple with no dependent children,1,100,100,100,100,100,1,0,NA,NA,No,NA,2,2,2,-2,2,1,2,2,1,2,1,-2,1,They are about the same,1,1,1,2.0,8.0,1.0,4.0,9.0,1.0,8.0,1.0,6.0,8.0,0,NA,0,1,1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-2,0,0,1,1,Yes,0,0,1,1,1,-1,1,1,1,30,30
33,38,Female,Between 6 and 12 months,Construction,Professionals - Education Professionals,Between 5 and 19,Couple with dependent children,1,20,40,30,20,30,0,1,50,50,Yes,30,0,1,2,0,0,0,0,0,1,1,0,1,1,Senior leadership,0,0,0,2.0,8.0,4.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0,1,0.2,-2,-1,-1,-1,0,0,0,0,-2,0,0,-1,-2,-1,-1,-2,2,1,1,1,Yes,0,0,0,1,1,2,1,1,1,10,10
34,47,I would rather not say,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,Between 20 and 199,Multiple family household,1,100,100,60,100,90,1,0,NA,NA,No,NA,2,2,2,2,2,0,2,1,1,1,-2,-1,1,They are about the same,-1,1,-1,2.0,7.0,2.0,6.0,7.0,0.0,9.0,2.0,6.0,7.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
35,54,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,Other one family household,0,20,20,20,20,20,0,1,20,20,Yes,80,1,0,0,1,0,0,0,-1,1,-1,0,0,0,They are about the same,0,0,0,1.5,8.0,1.0,6.5,7.0,0.5,6.0,1.0,9.5,7.0,0,NA,1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1,1,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,-20
36,54,Male,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,1,5,10,80,50,20,1,0,NA,NA,Yes,90,1,1,1,2,2,1,1,1,2,1,-1,1,1,My direct manger(s),0,0,0,1.5,8.5,2.0,4.0,8.0,0.0,8.5,2.0,5.5,8.0,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,Yes,1,1,1,1,1,0,1,0,1,-10,-10
37,61,Male,More than 5 years,Other Services,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,1,100,100,20,70,50,0,1,60,60,Yes,80,0,2,2,-1,0,-1,1,-1,1,2,0,-2,2,My direct manger(s),-1,1,-1,3.0,8.0,1.0,4.0,8.0,0.0,10.0,1.0,5.0,8.0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
38,39,Male,More than 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with no dependent children,1,10,50,40,60,70,1,1,50,70,Yes,30,1,1,1,1,2,1,-2,1,1,1,-1,1,2,They are about the same,2,2,2,2.0,7.0,4.0,3.0,8.0,2.0,7.0,3.0,4.0,8.0,0,NA,1,1,1,-2,-2,0,-1,1,-1,-1,1,1,0,1,0,1,2,2,-1,1,Yes,2,2,2,2,2,1,2,2,2,50,50
39,42,Male,More than 5 years,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,1,0,50,0,50,50,0,0,NA,NA,No,NA,0,1,2,1,2,1,2,1,2,2,-2,2,1,They are about the same,1,2,1,2.5,8.5,2.0,3.5,7.5,0.0,8.5,2.5,5.0,8.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,Yes,2,2,2,2,0,-1,1,1,2,40,40
40,59,Female,Between 6 and 12 months,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Couple with dependent children,1,50,90,100,100,100,0,0,NA,NA,No,NA,1,2,1,2,2,1,2,2,1,2,1,2,2,Senior leadership,1,2,2,16.0,3.0,3.0,1.0,1.0,16.0,3.0,3.0,1.0,1.0,1,1.0,2,1,2,1,0,1,2,1,0,1,1,2,1,2,2,1,2,2,1,1,Yes,2,1,0,1,2,1,2,1,2,50,50
41,60,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,Couple with dependent children,1,20,5,10,5,5,1,1,5,5,No,NA,2,1,1,2,2,0,1,1,2,1,-2,0,0,Senior leadership,0,2,1,1.0,8.0,3.0,5.0,7.0,1.0,8.0,3.0,5.0,7.0,0,NA,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,1,1,Yes,1,-1,-1,1,1,-1,1,0,1,0,0
42,38,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 20 and 199,Couple with dependent children,1,10,30,0,0,0,1,1,20,20,No,NA,2,2,2,-2,2,2,2,2,2,2,-2,2,0,They are about the same,2,2,2,1.0,7.0,1.0,7.0,8.0,1.0,7.0,1.0,7.0,8.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2,1,Yes,2,2,2,2,2,2,2,2,2,0,0
43,56,Male,Between 1 and 5 years,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Couple with no dependent children,1,90,90,10,90,50,1,0,NA,NA,Yes,90,0,0,0,1,1,-1,1,0,1,1,0,2,1,My direct manger(s),-1,0,0,4.0,8.0,1.0,4.0,7.0,0.0,10.0,1.5,4.5,8.0,0,NA,1,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,1,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
44,40,Female,Between 6 and 12 months,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Single person,1,50,50,50,50,50,0,1,50,50,Yes,50,1,1,1,1,1,0,-1,1,-1,-1,-1,0,1,My direct manger(s),1,1,1,2.0,8.0,2.0,6.0,6.0,1.0,8.0,3.0,4.0,8.0,0,NA,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
45,55,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with no dependent children,0,0,0,30,10,0,1,1,40,10,Unsure,NA,1,1,1,1,1,1,1,1,1,-1,1,1,-1,They are about the same,0,1,2,0.25,8.0,2.0,5.0,8.75,0.0,8.0,3.0,5.0,8.0,0,NA,0,-1,0,-2,0,-1,-2,-2,0,-1,1,-2,1,-1,1,-1,-1,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,NA
46,47,Female,Between 1 and 5 years,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,Between 20 and 199,Couple with dependent children,1,50,50,50,50,50,0,0,NA,NA,Yes,50,1,-1,1,1,0,0,-1,-1,0,1,-1,2,1,They are about the same,0,0,0,2.0,10.0,2.0,2.0,8.0,0.5,10.0,2.0,4.0,7.5,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
47,43,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,1,90,90,90,90,80,0,1,90,80,No,NA,1,0,0,1,1,1,1,0,1,1,-1,-1,2,They are about the same,0,0,1,3.0,9.0,1.0,3.0,8.0,1.0,11.0,1.0,3.0,8.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
48,34,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,1,20,20,20,30,20,1,1,30,30,Yes,20,1,1,0,1,1,0,1,1,1,1,0,1,1,My direct manger(s),1,1,1,2.0,8.0,3.0,3.0,8.0,3.0,8.0,3.0,2.0,8.0,0,NA,0,0,-1,-1,-1,0,0,-1,-2,-1,-2,-1,-2,-1,-2,-1,1,0,1,1,Yes,0,1,1,0,0,1,0,0,1,30,30
49,37,Male,More than 5 years,Manufacturing,Professionals - ICT Professionals,More than 200,Couple with dependent children,0,100,100,100,100,100,0,1,5,5,No,NA,2,2,2,2,1,1,2,1,1,1,-1,1,2,My direct manger(s),-2,1,1,2.0,8.0,5.0,3.0,6.0,0.0,10.0,5.0,3.0,6.0,0,NA,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,0,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
50,38,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,1,80,100,80,80,60,0,1,20,60,No,NA,1,1,2,1,2,1,1,1,1,1,0,1,1,They are about the same,1,1,1,3.0,7.0,3.0,3.0,8.0,1.0,8.0,4.0,4.0,7.0,0,NA,1,0,1,2,0,0,0,0,0,2,2,0,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
51,50,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,1,50,50,40,30,50,1,1,40,50,Yes,50,1,-1,0,0,1,0,1,1,0,1,0,-1,0,They are about the same,1,0,0,2.0,10.0,2.0,3.0,7.0,1.0,12.0,2.0,4.0,5.0,0,NA,0,0,-1,0,-1,1,0,1,1,0,0,1,-1,1,0,0,0,1,-1,1,Yes,0,-1,1,1,0,1,0,0,1,50,50
