Index,Category,Question
46,Use of Time - Remote,"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep"
47,Compensation and Advancement,"Imagine your employer offered you the option to work remotely whenever you chose, in return for negotiating a pay cut that you both agree on.  Would you be interested in negotiating?   "
48,Compensation and Advancement,What is the biggest pay cut you would accept?   Please give your answer as a percentage.
49,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My caring responsibilities
50,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Connectivity (for example internet)
51,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My organisation's software and systems
52,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Difficulty collaborating remotely
53,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Poor management
54,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - IT equipment (computer or printer)
55,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Feeling left out and/or isolated
56,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Extra costs
57,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Cyber security
58,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - I have tasks that can't be done remotely
59,Barriers to Remote Work,"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
60,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Motivation
61,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Management discourages remote working
62,Barriers to Remote Work,"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My living situation (e.g. location, home size, who I live with)"
63,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Lack of remote working skills
64,Barriers to Remote Work,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My health and safety when working remotely
65,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy
66,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy
67,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy
68,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy
69,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating
70,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating
71,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy
72,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy
73,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating
74,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating
75,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup
76,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup
77,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues
78,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues
79,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy
80,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy
81,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues
82,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues
83,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy
84,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy
85,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating
86,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating
87,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy
88,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy
89,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy
90,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy
91,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating
92,Onsite-Remote Collaboration,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating
93,Remote Personal Behavior,How strongly do you agree or disagree with the following statements?   - On days when I work remotely I feel better
94,Remote Personal Behavior,How strongly do you agree or disagree with the following statements?   - On days when I work remotely I am more active
95,Remote Personal Behavior,How strongly do you agree or disagree with the following statements?   - I feel better on days when I see my colleagues in person
96,Demographics,Do you manage people as part of your current job?
97,Remote Management,Do employees you manage ever work remotely?
98,Remote Management,How strongly do you agree or disagree with the following statements?    - I have discretion to offer or deny remote work to employees I manage
99,Remote Management,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees
100,Remote Management,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me to recruit employees
101,Remote Management,How strongly do you agree or disagree with the following statements?    - My team works well together when they work remotely
102,Remote Management,How strongly do you agree or disagree with the following statements?    - I find it easy to manage employees remotely (e.g. tasking and monitoring progress)
103,Remote Management,How strongly do you agree or disagree with the following statements?    - I find it easy to manage poor performers remotely
104,Remote Management,How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely
105,Remote Management,How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results
106,Remote Management,How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely
107,Productivity,"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  "
108,Managed Productivity,"Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  "
